#"Reweighting Factor M (no exp())" "First Pertubation (kJ/mole)"
-0.003809540886114481 3.750010081972513
-0.009124218336474544 3.750054345432872
0.008820402857280297 3.750097902714133
-0.003505463636438778 3.7501313918897723
0.0026536958779073646 3.750161926388626
0.002684057416780763 3.7501840709096324
-0.0033487310298025413 3.750205793218778
-0.005609370880193646 3.7502539338753547
0.0009345888179498581 3.750308333365047
0.01143019047472164 3.750335733417079
0.002145476037094503 3.750340585748126
0.007709495917694958 3.750325805578794
0.0066359621073219886 3.7502758851304514
-0.00016271503911997965 3.7502092294662317
0.006901706200475451 3.7501285786842016
0.005495086987848292 3.7500161057370156
0.00011810787225646312 3.7498890797463176
0.0004930467508332272 3.749756268593867
-0.0014250080149720836 3.7496242692168535
0.006484973349781102 3.7494772159328154
0.0020883491221454394 3.7492989699270685
-0.0015963749538929761 3.749117823427595
0.0057859614220868065 3.7489235290366403
0.005077063985168149 3.7487074698307996
0.0015180477570703418 3.7484732210490574
0.010424232449474737 3.748213527163487
-0.00046581041464592457 3.747923162868267
-0.0021080821247095208 3.7476270025121456
-0.0026653382524017733 3.747340843855512
0.0027629728611126346 3.747050580491431
-0.006957676876516046 3.7467765135377644
-0.003766095404240198 3.7465200826600147
0.01628433666815543 3.7462264411325243
0.001109464446988108 3.745895363152463
0.00140718040218461 3.7455591496860583
-0.0020237358358934413 3.7452286374682715
0.004239063407125414 3.744891413883036
0.012948418319584543 3.7445089699484955
-2.5121814228388738e-05 3.744096338933068
0.008222933951337132 3.743666955428183
-0.002518969534038625 3.743227318995527
0.0050619099282651955 3.742781606889194
0.0003708880261174717 3.7423200421232314
-0.0019557336945945263 3.74186741798988
3.319283566612727e-05 3.741430819015728
0.0015223611358494878 3.740990949489767
-0.0008066305864189708 3.740547504231836
0.008780916144675074 3.740079138543509
0.0020481397170455215 3.7395972843984806
0.0024229240909801864 3.7391107205900087
-0.0017758954564107412 3.7386297293460373
0.0017275051072562142 3.7381549646534746
0.0008167080057470129 3.7376910182123346
-0.005522916036473953 3.737239298423006
0.007177064500242365 3.736783226577241
0.0007479650204442878 3.7363153767617865
-0.0003779772361596892 3.735848757216419
-0.00321662272824109 3.7353948868843636
0.0007301263583989792 3.7349456560237386
-0.003588277812545275 3.734505357688618
0.010765477259215717 3.7340557734632918
0.004316771558950318 3.7335751180092025
-0.0061971882235462225 3.733105853594494
0.011004369006256879 3.732631400772571
-0.007689045508441655 3.732162024178935
0.001287898827597411 3.731719098606497
0.006772275794356721 3.731270261117863
-0.0001668516230888809 3.7308227003114176
0.0009839970082141695 3.7303813128956382
0.0026687131759014233 3.729937893861215
0.001562806160080419 3.7295009846936327
-0.009426325823977408 3.7291024383988605
0.0009319497739948124 3.728737678609639
0.004299181577805918 3.728377477133038
0.0005359650709652027 3.7280255622484604
0.0024981579079759557 3.7276828170687755
0.006494463203308429 3.7273311812748444
0.005486245010287431 3.726962804864873
0.01196414908418194 3.7265611248921475
0.007087095543712206 3.7261333830062924
0.010298576211867208 3.725683444097087
0.0010018810682656417 3.725221984549842
-0.00034050366914586017 3.724781543096017
-0.0012332749522820543 3.7243602489177667
-0.0030021404670840263 3.7239674847212614
0.00038366036971627525 3.723596170013981
0.005215323193068783 3.723232404420078
-0.013525659945836044 3.7229089062032106
-0.005372082540303263 3.722659410377112
0.006908883622622216 3.722420579755731
-0.0035898849861336233 3.7221974131166995
0.004539673951230072 3.7219881814944635
-0.0005552166990697568 3.721789044665817
-0.01036450206918942 3.721643314260451
0.0076160303698438745 3.721525910740887
-0.004072366235412141 3.7214156663718914
-0.0009141138367208814 3.7213346990439513
-0.005582167387499665 3.7212806177794504
-0.006293900349072229 3.721277513100051
0.0025474825453127422 3.721292147776951
0.0004723402118310589 3.72132446682965
